region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
VPM	M710	2	ensemble	ensemble_5seed		eeg_emg_photo	5	16	80	238	119	119	0.7542	0.6888	0.8150	0.6513	0.5882	0.7060	0.6513	0.7731	0.6571	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_2\eeg_emg_photo
VPM	M710	2	single_ckpt	anchor_vpm__s0__h2	0	eeg_emg_photo	1	16	16	238	119	119	0.7101	0.6419	0.7775	0.6555	0.5924	0.7143	0.6555	0.7910	0.6143	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_2\anchor_vpm__s0__h2
VPM	M710	2	single_ckpt	anchor_vpm__s1__h2	1	eeg_emg_photo	1	16	16	238	119	119	0.7170	0.6541	0.7836	0.5924	0.5335	0.6555	0.5924	0.7371	0.7000	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_2\anchor_vpm__s1__h2
VPM	M710	2	single_ckpt	anchor_vpm__s2__h2	2	eeg_emg_photo	1	16	16	238	119	119	0.7519	0.6889	0.8129	0.6807	0.6218	0.7437	0.6807	0.6547	0.6429	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_2\anchor_vpm__s2__h2
VPM	M710	2	single_ckpt	anchor_vpm__s3__h2	3	eeg_emg_photo	1	16	16	238	119	119	0.7434	0.6797	0.8063	0.6681	0.6092	0.7228	0.6681	0.7657	0.7143	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_2\anchor_vpm__s3__h2
VPM	M710	2	single_ckpt	anchor_vpm__s4__h2	4	eeg_emg_photo	1	16	16	238	119	119	0.7497	0.6892	0.8103	0.6975	0.6429	0.7563	0.6975	0.7069	0.6571	0.7065	0.5000	0.7146	0.6639	0.7349	0.5882	0.6840	0.6050	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_2\anchor_vpm__s4__h2
VPM	M710	3	ensemble	ensemble_5seed		eeg	5	16	80	238	119	119	0.7548	0.6931	0.8136	0.7185	0.6597	0.7731	0.7185	0.8016	0.6857	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_3\eeg
VPM	M710	3	single_ckpt	anchor_eeg__s0__h3	0	eeg	1	16	16	238	119	119	0.7131	0.6395	0.7771	0.6975	0.6387	0.7563	0.6975	0.8522	0.7286	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_3\anchor_eeg__s0__h3
VPM	M710	3	single_ckpt	anchor_eeg__s1__h3	1	eeg	1	16	16	238	119	119	0.7584	0.6974	0.8175	0.7143	0.6555	0.7647	0.7143	0.7608	0.6571	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_3\anchor_eeg__s1__h3
VPM	M710	3	single_ckpt	anchor_eeg__s2__h3	2	eeg	1	16	16	238	119	119	0.7306	0.6624	0.7937	0.6765	0.6134	0.7311	0.6765	0.7543	0.7000	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_3\anchor_eeg__s2__h3
